Designator,Mid X,Mid Y,Rotation,Layer
D1,135.382,-65.7352,90.0,top
D2,132.842,-65.6844,90.0,top
D3,130.302,-65.7352,90.0,top
D4,127.762,-65.7352,90.0,top
D5,125.222,-65.7352,90.0,top
D6,122.682,-65.7352,90.0,top
D7,120.142,-65.7352,90.0,top
D8,117.602,-65.7352,90.0,top
D9,115.062,-65.7352,90.0,top
J1,141.075,-59.434,90.0,top
J2,107.3692,-59.434,90.0,top
R1,121.4628,-60.0136,270.0,top
RN1,128.524,-60.0136,180.0,top
RN2,124.4854,-60.0136,180.0,top
